id,name,latitude,longitude
46372652,,13.053073115431458,80.2401240963887
47296472,Madras Export Processing Zone MEPZ,12.942550027770352,80.12078850385353
49160044,Bosch NhP,12.870465294993759,77.66356866093892
50806678,television broadcasting,16.694205310289686,74.46075575250899
51341122,SIPCOT Irungattukottai,12.997672853660774,80.00965543037181
52651590,Highland coffee works,12.866504965265378,74.85318940133615
53093194,Hindustan Photo Films,11.433887343052039,76.66799049577371
53264626,,25.279359709650283,83.14006887211482
53286432,,25.280107603310977,83.10510052942209
53325042,,25.28632722498886,83.06912053275113
53349916,,25.299307421326233,83.07320628279741
53371162,Ramnagar industrial area,25.243830498676797,83.06446507310429
53385928,Banaras Loco Works - DLW Varanasi,25.2908363845893,82.95851193431362
53465530,,25.298835197414054,82.99629677689946
53562010,,25.36047107075862,82.94091066806435
53562034,,25.358909327343692,82.9474693194442
54070952,,28.469874905385684,77.0530344213725
54694826,KK Nagar Container Freight Station,13.046016506788355,80.19533673040709
54695102,Vadapalani MTC Depot,13.050560134431324,80.20680916629917
54868616,AVM Studio,13.046433111520548,80.20491328221233
55537940,Central Medical Depot,13.081782082701254,80.26527135127097
55755852,Anna Nagar West MTC Depot,13.095156365934107,80.198099606706
55909892,Adyar Bus Depot,13.006700715912627,80.25321026501446
56134766,Saidapet MTC Depot,13.014544383032773,80.22564211701858
56417638,Sector 5,28.58898954559841,77.32148466357602
56480286,Bharatiya Reserve Bank Note Mudran Private Limited - BRBNMPL,12.362197218726399,76.6416937730241
56480974,Sector 4,28.583525029758032,77.32295286206714
56582992,Steel auto industries,30.11347230340114,77.24092503125918
56591036,Corporation Asphalt Plant,13.074911039677842,80.25171293428058
56591038,"FCI FSD, Egmore",13.074568058441203,80.24955947345624
56619558,,12.968571761953001,80.17338083927547
56685200,Perambur MTC Depot,13.101493203869069,80.24909918773733
56685474,Basin Bridge Gas Turbine Power Station,13.098254662725934,80.26983948942322
56694730,Integral Coach Factory Carriage Works - ICF Chennai,13.105609934201254,80.22537137137522
56696256,Integral Coach Factory,13.097997058498658,80.20839132958088
56700742,Tamilnadu Civil Supplies Corporation - Anna Nagar 1 & 2 Godown,13.087087115280832,80.21641838218086
56707710,Babat Pur Gas Plant,25.419430816915526,82.87359395618864
56792618,Deenbandhu Chhotu Ram Thermal Power Station,30.105651881899227,77.326702351339
56970910,Electricity Board,11.405229166410695,76.68025179062931
57462552,,25.271631252090003,82.8322210951499
57465138,,25.271991247196112,82.84082997047035
57533872,,25.48238808561241,81.9740579596938
57534988,,25.497766033299637,82.0018215946891
57534994,,25.49744439451738,82.00325821014735
57535024,,25.49781536332274,82.00544292474524
57536604,,25.434298419469528,81.91625370151185
57539914,Indian Oil LPG Plant,25.424224828461586,81.9316027940633
57856066,,22.251656532781055,73.1863623390057
57876914,,22.26516163133025,73.21522218428174
57895146,,22.532023094284174,72.923179268659
57929356,,22.541705527079007,72.93674451396926
57929494,,22.543067924103223,72.94760535250836
58048642,Sugar Daddy Bakery,11.410807448936252,76.68871115905327
58074342,Nirma Lab Plant,22.462581868528606,73.23993128312041
58215924,Gujarat Refinery,22.378566241526723,73.11775143391583
58216124,,22.396413011409432,73.11726971699682
58231836,Corporation of Chennai - Pudupet Depot,13.06989851175945,80.26529974298003
58269736,,22.395859590140535,73.19874619566394
58400262,Manali Petro Chemicals,13.151896227523412,80.27236549526124
58400370,Indian Oil Corporation,13.14193761419474,80.28095383464088
58400404,Container Corporation of India - CONCOR,13.147232887816864,80.28700563838528
58400714,Bharath Petroleum,13.125869281517412,80.28287960346947
58400734,Hindustan Petroleum,13.12291325828846,80.28117356406527
58400772,Indian Oil,13.122296197118324,80.27814116674524
58401072,Carborundum Universal,13.16999871807737,80.30898837268222
58401090,Thiruvottiyur MTC Depot,13.172234155280181,80.30455267758065
58401334,,13.184721388926855,80.3000458224697
58401342,,13.160294149362304,80.29374927380276
58401830,,13.156240579733634,80.30478347225772
58401910,STP Container Terminal,13.1639693483308,80.30807374297568
58401916,,13.164706480077378,80.30635807957229
58401926,Ananda Industries,13.16653626150292,80.30715728918135
58403232,,13.180354887744759,80.31149105658305
58403388,,13.154142793775796,80.30161553414544
58403726,MRF Tyres,13.176643982817163,80.3091176589767
58403728,,13.17488728757312,80.30879182704807
58403730,ITC Packaging,13.182841554858047,80.30550370022071
58404242,Ennore Foundries,13.211981354171384,80.32171541558624
58404244,Ennore Foundries,13.212571638290408,80.31952382368483
16643787,Ashok Leyland,13.209486459086715,80.31716653746045
58404450,EID Parry Fertilizers,13.216499291669278,80.32382350357933
58404622,Ennore MTC Depot,13.21515129028194,80.32091807321916
58491828,Manali Fertilizers Limited - MFL,13.17170723259085,80.26749918042952
58492422,,13.169921366666665,80.25717573333334
58492998,Madhavaram MTC Depot,13.131508233100785,80.23582553085312
58654798,,22.82384126392599,72.60014609070421
58985508,AMGEN,23.071507400250024,72.59328863885138
59094558,Indu Nissan Oxo Chemical Industries Ltd.,22.36722775601074,73.1481634754262
59094676,Gujarat State Fertilizers & Chemicals Ltd.,22.37203125230104,73.15239268103257
59834466,,22.332560093233305,73.16454239619958
60156108,Avadi MTC Depot,13.121011163247925,80.10211455311406
61477146,Ennore Thermal Power Station,13.199078236479608,80.30971971462189
61498152,MTC Workshop - Chrompet,12.947899468343275,80.14283991491827
61501136,FCI Warehouse - Chrompet,12.938954310992742,80.13669017606684
61598766,Badlapur MIDC,19.153500382737818,73.24142593328071
61598960,,13.186267499312944,80.24159349984033
61779994,Prasad Color Labs,13.056102477901225,80.2052401876452
61946596,Ayanavaram MTC Depot,13.098749349469811,80.24066283307235
62008944,Food Corporation of India - FCI Avadi,13.124611151763075,80.0730954827484
62023278,Ashok Leyland Vehicle Test Centre,13.233293292905655,80.28002393965527
62024394,SICAL Container Freight Station,13.2461790349723,80.27975411449651
62024400,Bay Container Storage Yard,13.244874521958979,80.2757808450784
62030106,DMC Mills,19.208213402375918,73.1909294517755
62030126,ITC Manufacturing Plant,19.20390353689787,73.1959350612166
62505648,Spartek Granites,13.090329262153357,79.99327280105521
62507432,Balaji Brewery,13.105845200000001,79.96118405296596
62511794,Indira cotton mills,12.94448126603151,80.13714890080959
62512786,Avadi Carshed,13.11627975872531,80.12093741709144
62513348,Tube Products of India,13.120320655807575,80.11413282171722
62514568,All India Radio Station,13.140804414520135,80.12684425614759
63447808,TNSTC Bus Depot,12.502687959480662,80.15310737582872
63759084,Burn Standard,11.696167779037081,78.10178789756358
63999656,Dalmia,11.717280845898555,78.12253560722193
64508816,Tambaram MTC Depot,12.932345751171683,80.12120996523086
64520124,BWSSB,12.908239500444155,77.58455095017746
64850672,BMTC Depot 4 (Jayanagara),12.924740734697489,77.5926125292935
65082744,Bharat Electronics Ltd.,13.024394940246994,80.19300941318365
65089960,All India Radio,13.01096597012582,80.22657349245756
65105390,gwalthai industrial area,31.403460546922144,76.41219899308697
65227554,"MTC Bus Depot, KK Nagar",13.03458699809737,80.20538497062554
65373048,,13.026469845626519,80.20560381804573
65373476,,13.014036272283281,80.20163195355646
65373532,,13.013415877459412,80.21587829240863
66033906,International Flavour & Fragrances,13.009307419949689,80.19227140178883
66600970,Central Warehouse,12.975201108204713,77.72365141679197
66601320,Concor,12.992827630284426,77.74364626207924
67260036,Poonamallee MTC Depot,13.052070447061793,80.09079918871524
67263682,,13.042014547468726,80.12055933685973
67488648,Government Civil Supplies Warehouse,13.031266249682448,80.24295129264547
68038932,KK Nagar Pumping Station,13.04200512635491,80.2030692910036
68120274,KK Nagar West MTC Terminus,13.044187788076103,80.19333455364729
68194738,TNEB Site,13.103897877699607,80.26811532189565
68195028,,13.091746896399405,80.26795690881711
68655212,Southern Railways Printing Press,13.10258647354435,80.29238376504121
68655214,IOC Fuel Yard,13.103712104082922,80.29149169005501
69242542,Kolathur Water Works,13.12828552144388,80.2124069870096
69510482,TTD Transport Yard,13.673408971273497,79.35186537783278
70140510,Majestic Studios,13.04938944313577,80.20046468912773
70623956,Gas Turbine Research Establishment,12.982117940273229,77.65319338570481
70653878,Electronics and Radar Development Establishment,12.981148902931052,77.66106193506761
70921728,Turbhe Bus Depot,19.07383565724245,73.01662522488779
71827502,Sewage Treatment Plant,13.04437735821128,77.64635839369103
73352178,Bharat Fritz Weiner,13.038643233153444,77.53400132429994
74214626,Central Power Research Institute,13.021966643466564,77.57428915110451
74216160,Hindustan Machine Tools,13.052360522512707,77.54286726856886
74703318,Khodays Breweries,12.89076026849992,77.56637295420566
